"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,10872.2581176019,15358.4658454647,21976.2610503281,29947.0164773636,39689.6603210153,25013.2633265059
"2",2005,11018.4221676476,15644.5917812403,22230.1794590951,30279.2767574086,40792.2599488865,25728.4875466118
"3",2006,11753.8703213411,16043.2391638578,22788.7922635438,31912.6574172892,43480.3698920695,26801.1582642871
"4",2007,12808.218731476,17246.1523953225,24596.3872735831,34863.3002371073,47332.2337482711,28672.2027699065
"5",2008,12878.9900964476,17552.5763811992,24743.992798019,34084.5562780726,45734.5824359895,28385.5202959206
"6",2009,13731.4444085674,18121.3235161209,25054.054192229,34635.2957029829,45023.7237051242,28290.9465790324
"7",2010,12563.0241989718,16913.9758021343,23356.4981382921,32835.8121136859,44613.5033304307,27206.8093683608
"8",2011,12012.310405762,16595.3358756233,22720.5395847593,31473.0621149897,42325.3037303217,25821.842327289
"9",2012,11544.333883676,15741.7514025245,21144.6248559908,29342.2419354839,39108.9940042822,24321.1688237781
"10",2013,11641.7452357071,15354.8186225343,21297.6992279457,29913.9444040268,40414.982447342,24619.4847959533
"11",2014,11407.4210377463,15576.358,21400.4567909573,30237.3,41624.6666666667,24972.2720826295
"12",2015,12491.1526692687,16747.0157698743,23559.7928571429,33003.192,44107.0777777778,26895.2933061227
"13",2016,13280.6405915279,17773.34001336,24323.3266533066,32851.6646130051,44279.7595190381,27698.1855622866
