"","Year","10th","25th","Median","75th","90th","Mean","10th_ch","25th_ch","Median_ch","75th_ch","90th_ch","Mean_ch"
"1",2004,9719.7511106957,13730.72,19627.3381723925,26742.6857142857,35442.8666666667,22346.2984386028,1,1,1,1,1,1
"2",2005,10066.4761904762,14299.4875,20329.8952380952,27656.3375736716,37243.3333333333,23527.6761111382,1.03567221792325,1.04142299165666,1.03579482146443,1.03416455135236,1.05079912648149,1.05286681710536
"3",2006,11013.3764910966,15032.5150965348,21353.0983509406,29902.16,40741.1065888692,25112.685293637,1.13309243885652,1.09480894640156,1.0879263486159,1.11814349237281,1.14948677746728,1.12379620108605
"4",2007,12347.1228571429,16625.2909090909,23710.9851392797,33608.2214285714,45628.2733333333,27640.6898638329,1.27031265682883,1.21080984166096,1.20805913318553,1.25672573755815,1.28737536279044,1.23692476137722
"5",2008,12817.0502949304,17465.1908763012,24620.5458982185,33914.5145190958,45505.9095238095,28244.4730183976,1.31866033903136,1.27197924626685,1.25440065698003,1.26817907825088,1.28392293862073,1.2639441425165
"6",2009,13429.3526315789,17722.6543987663,24502.865,33873.3191975173,44033.2017836114,27668.5457542937,1.38165601964861,1.29073015827038,1.24840489244055,1.26663864502668,1.24237134083242,1.2381713163956
"7",2010,12209.3701505459,16308.5769230769,22474.24,31652.6592093771,42922.7212665593,26250.1399633471,1.25614020477444,1.18774375437537,1.14504777991811,1.18360061317508,1.21103977480826,1.17469745763354
"8",2011,11699.9903352122,16163.8571428571,22129.8055555556,30654.7625,41224.8458333333,25150.4744267795,1.20373353205901,1.17720390065904,1.12749907099899,1.14628586027261,1.16313520068918,1.12548727011238
"9",2012,11451.9792126066,15615.8173913044,20975.4678571429,29107.504,38796.122052248,24126.5994731879,1.17821733110066,1.13729049833544,1.0686863227662,1.08842860103804,1.09461016280421,1.07966872184566
"10",2013,11606.82,15308.7541666667,21234.2662245204,29827.7905699737,40293.7375,24548.5785288976,1.19414786117597,1.11492727014073,1.081871929755,1.1153625663723,1.13686451716659,1.09855234397525
"11",2014,11407.4210377463,15576.358,21400.4567909573,30237.3,41624.6666666667,24972.2720826295,1.17363303934743,1.13441669482737,1.09033923005712,1.13067551715075,1.17441591443882,1.11751269013263
"12",2015,12491.2214285714,16747.369429433,23559.7928571429,33003.192,44107.0777777778,26904.9790747328,1.28513799235312,1.21970074616867,1.2003559856263,1.23410162885659,1.24445570931371,1.20400160002585
"13",2016,13254.0793103448,17737.7933333333,24274.68,32785.9612837791,44191.2,27642.7891911621,1.3636233232104,1.2918327176822,1.23677901643048,1.22597863333768,1.24682916919813,1.23701870657065
